"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 11- 15","96,190.5","94,557.5","96,799.5","94,557.5","108.21K","1.73%"
"2025- 11- 14","94,554.3","99,707.0","99,843.9","94,126.2","131.30K","-5.19%"
"2025- 11- 13","99,728.7","101,652.8","104,008.7","98,027.4","100.44K","-1.90%"
"2025- 11- 12","101,658.3","103,046.7","105,309.1","100,858.0","63.52K","-1.35%"
"2025- 11- 11","103,046.7","106,003.2","107,461.3","102,484.3","73.04K","-2.79%"
"2025- 11- 10","106,006.9","104,720.8","106,629.5","104,285.0","70.75K","1.23%"
"2025- 11- 09","104,722.4","102,311.3","105,409.1","101,469.1","51.64K","2.36%"
"2025- 11- 08","102,311.1","103,326.4","103,397.6","101,474.0","41.41K","-0.98%"
"2025- 11- 07","103,325.4","101,330.3","104,067.9","99,290.8","94.27K","1.97%"
"2025- 11- 06","101,325.7","103,893.0","104,160.7","100,350.9","78.43K","-2.47%"
"2025- 11- 05","103,896.7","101,500.8","104,534.3","99,010.6","98.50K","2.36%"
"2025- 11- 04","101,504.3","106,584.3","107,293.1","99,001.8","134.18K","-4.76%"
"2025- 11- 03","106,578.1","110,566.9","110,736.3","105,331.7","85.37K","-3.62%"
"2025- 11- 02","110,586.6","110,097.1","111,229.8","109,537.0","41.82K","0.44%"
"2025- 11- 01","110,103.6","109,602.7","110,534.6","109,406.7","27.13K","0.46%"
"2025- 10- 31","109,602.8","108,319.5","111,102.2","108,319.5","68.61K","1.18%"
"2025- 10- 30","108,320.1","110,024.9","111,585.8","106,371.4","80.07K","-1.55%"
"2025- 10- 29","110,024.6","112,904.7","113,628.7","109,506.4","66.99K","-2.55%"
"2025- 10- 28","112,905.8","114,110.3","116,076.7","112,266.9","52.49K","-1.05%"
"2025- 10- 27","114,108.0","114,553.9","116,307.5","113,868.0","70.79K","-0.39%"
"2025- 10- 26","114,550.9","111,646.0","115,153.9","111,261.9","42.74K","2.60%"
"2025- 10- 25","111,646.1","111,012.4","111,921.3","110,702.1","23.30K","0.57%"
"2025- 10- 24","111,013.1","110,078.9","111,966.0","109,776.0","51.79K","0.85%"
"2025- 10- 23","110,078.9","107,587.5","111,285.9","107,518.9","59.44K","2.32%"
"2025- 10- 22","107,587.5","108,336.4","109,081.5","106,746.2","86.97K","-0.70%"
"2025- 10- 21","108,340.9","110,544.0","113,971.6","107,491.1","108.22K","-1.99%"
"2025- 10- 20","110,544.0","108,656.3","111,677.2","107,443.1","64.94K","1.74%"
"2025- 10- 19","108,658.2","107,189.9","109,456.1","106,134.9","52.65K","1.37%"
"2025- 10- 18","107,193.5","106,469.4","107,489.0","106,356.9","40.28K","0.70%"
"2025- 10- 17","106,443.5","108,205.5","109,232.3","103,632.7","106.66K","-1.63%"
"2025- 10- 16","108,204.8","110,767.4","111,960.2","107,549.1","92.62K","-2.31%"
"2025- 10- 15","110,767.4","113,029.8","113,611.9","110,206.4","72.25K","-2.00%"